ID	Cluster
2019-03074	1169
2019-03075	939
2019-03077	19
2019-03661	894
2019-03662	283
2019-03663	1051
2019-03664	592
2019-03665	783
2019-03666	262
2019-03667	769
2019-03668	419
2019-03669	394
2019-05247	1485
2019-05249	1064
2019-05250	311
2019-05251	252
2019-05252	278
2019-05253	647
2019-05254	624
2019-05255	503
2019-05821	917
2019-05822	876
2019-05823	84
2019-05824	1036
2019-05825	557
2019-05826	802
2019-05828	463
2019-05829	184
2019-06555	164
2019-06556	713
2019-06557	252
2019-06558	1125
2019-06559	1044
2019-06560	737
2019-06561	348
2019-06563	674
2019-07047	284
2019-07048	284
2019-07049	284
2019-07050	284
2019-07051	283
2019-07052	284
2019-07053	283
2019-07054	1434
2019-07055	785
2019-07056	957
2019-07057	812
2019-07058	1051
2019-07059	1416
2019-07060	1182
2019-07061	1161
2019-07062	1321
2019-07063	503
2019-07064	782
2019-07065	1097
2019-07066	1137
2019-07067	999
2019-07068	252
2019-07069	996
2019-07070	252
2019-08446	1457
2019-08447	1502
2019-08448	498
2019-08449	1519
2019-08450	3
2019-08451	514
2019-08452	741
2019-08453	99
2019-08454	896
2019-08455	252
2019-08456	252
2019-08879	1097
2019-08880	993
2019-08881	998
2019-08882	1008
2019-08883	1284
2019-08884	1005
2019-08885	1000
2019-08886	252
2019-08887	997
2019-08888	1023
2019-08889	348
2019-08890	257
2019-08891	999
2019-08892	1022
2019-08893	1079
2019-08894	348
2019-08895	257
2019-08896	993
2019-08897	1352
2019-08898	1004
2019-08899	257
2019-08900	975
2019-08901	999
2019-09335	1281
2019-09336	990
2019-09337	1005
2019-09338	990
2019-09339	257
2019-09340	257
2019-09341	257
2019-09342	257
2019-09343	257
2019-09344	257
2019-09345	1005
2019-09346	1017
2019-09347	257
2019-09348	257
2019-09349	1021
2019-09350	1005
2019-09351	294
2019-09352	291
2019-09353	290
2019-09354	285
2019-09355	285
2019-09356	285
2019-09357	285
2019-09378	276
2019-09379	250
2019-09380	348
2019-09382	1136
2019-09383	601
2019-09384	934
2019-09385	589
2019-09386	946
2019-09387	1024
2019-09388	1024
2019-09685	285
2019-09686	295
2019-09687	285
2019-09688	289
2019-09689	290
2019-09690	364
2019-09691	246
2019-09692	577
2019-09693	952
2019-09694	954
2019-09695	1500
2019-09696	998
2019-09697	998
2019-09698	671
2019-09699	671
2019-09700	350
2019-09701	350
2019-09702	993
2019-09703	993
2019-09704	348
2019-09705	348
2019-09706	1006
2019-09707	463
2019-09735	530
2019-09736	1385
2019-09737	1492
2019-09738	1408
2019-09739	26
2019-09741	236
2019-09742	284
2019-10369	783
2019-10370	1318
2019-10371	970
2019-10372	824
2019-10373	825
2019-10374	11
2019-10375	6
2019-10376	16
2019-10377	15
2019-10378	10
2019-10379	14
2019-10380	7
2019-10381	8
2019-10382	2
2019-10383	2
2019-10384	3
2019-10385	2
2019-10386	2
2019-10387	3
2019-10388	3
2019-10389	2
2019-10390	2
2019-10391	2
2019-10392	1419
2019-10393	1362
2019-10394	1204
2019-10395	1145
2019-10396	1039
2019-10397	484
2019-10398	890
2019-10399	1389
2019-10400	787
2019-10401	521
2019-10402	1303
2019-10403	473
2019-10404	812
2019-10405	1312
2019-10406	633
2019-10407	744
2019-10408	714
2019-10409	631
2019-10410	1290
2019-10411	590
2019-10412	388
2019-10413	1427
2019-10414	411
2019-10908	1400
2019-10909	1392
2019-10910	723
2019-10911	397
2019-10912	134
2019-10913	348
2019-10914	119
2019-10915	280
2019-10916	834
2019-10917	1113
2019-11590	391
2019-11591	1482
2019-11592	77
2019-11594	1219
2019-11595	97
2019-11596	733
2019-11783	61
2019-11784	868
2019-11785	383
2019-11786	130
2019-11787	909
2019-11788	1348
2019-11789	905
2019-11790	730
2019-11791	949
2019-11792	203
2019-11793	571
2019-11794	1244
2019-11795	1476
2019-11796	245
2019-11797	1552
2019-11798	485
2019-11799	644
2019-11800	224
2019-11801	1535
2019-11802	823
2019-11803	725
2019-11804	903
2019-11805	1528
2019-11806	1467
2019-11807	1436
2019-11808	565
2019-11809	1013
2019-11810	1412
2019-11811	887
2019-11812	643
2019-11813	1491
2019-11814	378
2019-11815	577
2019-11816	735
2019-11817	1377
2019-11818	815
2019-11819	989
2019-11820	154
2019-11821	1279
2019-11822	963
2019-11823	1319
2019-11824	985
2019-11825	750
2019-11826	205
2019-11827	1567
2019-12347	1394
2019-12348	651
2019-12349	566
2019-12350	132
2019-12351	1173
2019-12352	1099
2019-12353	263
2019-12354	1403
2019-12355	180
2019-12356	1191
2019-12357	1069
2019-12545	788
2019-12546	292
2019-12547	288
2019-12548	243
2019-12549	212
2019-12550	584
2019-12551	137
2019-12552	222
2019-12553	491
2019-12554	611
2019-12555	538
2019-12556	1217
2019-12557	545
2019-12558	1505
2019-12559	1413
2019-12560	103
2019-12561	1087
2019-12562	1250
2019-12563	537
2019-12564	551
2019-12565	914
2019-12566	1066
2019-12567	155
2019-12568	1289
2019-12569	913
2019-12570	1141
2019-12571	264
2019-12572	657
2019-12573	931
2019-12574	1231
2019-12575	829
2019-12576	1322
2019-12577	1042
2019-12578	503
2019-12579	336
2019-12580	607
2019-12581	447
2019-12582	50
2019-12583	1431
2019-12584	89
2019-12585	563
2019-12586	196
2019-12587	310
2019-12588	494
2019-12589	1398
2019-12590	1337
2019-13289	1187
2019-13290	2
2019-13291	252
2019-13292	140
2019-13294	1221
2019-13295	72
2019-13296	1101
2019-13297	252
2019-13298	252
2019-13299	1009
2019-13319	1421
2019-13320	708
2019-13321	796
2019-13322	1078
2019-13323	565
2019-13324	703
2019-13325	1333
2019-13326	1536
2019-13327	251
2019-13328	88
2019-13329	1479
2019-13330	747
2019-13331	395
2019-13332	308
2019-13333	721
2019-13334	1082
2019-13335	885
2019-13336	546
2019-13337	649
2019-13338	360
2019-13339	260
2019-13340	1055
2019-13341	1425
2019-13342	1254
2019-13343	1324
2019-13344	218
2019-13345	891
2019-13346	387
2019-13347	389
2019-13348	479
2019-13349	881
2019-13350	1562
2019-13351	675
2019-13352	1139
2019-13353	630
2019-13354	351
2019-13355	1472
2019-13356	1084
2019-13357	299
2019-13358	1238
2019-13359	1505
2019-13360	667
2019-13361	256
2019-13362	1277
2019-13363	1178
2019-13364	763
2019-13780	1460
2019-13781	1423
2019-13782	557
2019-13783	557
2019-13784	640
2019-13785	676
2019-13786	1225
2019-13787	771
2019-13789	252
2019-13790	1199
2019-13951	817
2019-13952	362
2019-13953	1248
2019-13954	666
2019-13955	1465
2019-13956	1466
2019-13957	361
2019-13958	506
2019-13959	519
2019-13960	650
2019-13961	552
2019-13962	1191
2019-13963	1302
2019-13964	351
2019-13965	524
2019-13966	191
2019-13967	42
2019-13968	617
2019-13969	912
2019-13970	1293
2019-13971	922
2019-13972	780
2019-13973	543
2019-14378	935
2019-14379	1189
2019-14380	1238
2019-14381	49
2019-14382	452
2019-14383	283
2019-14384	1262
