ID	Cluster
2021-020121	1461
2021-020122	1077
2021-020123	1147
2021-020124	588
2021-020126	557
2021-021406	499
2021-021409	686
2021-021410	843
2021-023260	172
2021-023261	1477
2021-023262	1146
2021-023263	936
2021-023264	144
2021-023265	808
2021-023266	713
2021-023268	703
2021-023269	197
2021-025844	1475
2021-025845	1380
2021-025846	1093
2021-025847	315
2021-025848	274
2021-025849	241
2021-025850	873
2021-025851	897
2021-025852	29
2021-025853	692
2021-025854	1534
2021-030404	1483
2021-030405	474
2021-030406	709
2021-030407	757
2021-030409	689
2021-030411	273
2021-036917	777
2021-036918	94
2021-036919	220
2021-036920	1196
2021-036921	1415
2021-036922	711
2021-036923	670
2021-036924	884
2021-036925	2
2021-036926	1072
2021-036927	893
2021-036928	161
2021-036929	1325
2021-036930	238
2021-043514	677
2021-043515	1525
2021-043517	1422
2021-043518	478
2021-043521	1547
2021-043522	239
2021-043523	1445
2021-043524	113
2021-043525	377
2021-043526	782
2021-043527	1153
2021-043529	1359
2021-043530	1016
2021-043531	716
2021-043532	2
2021-048281	1263
2021-048282	286
2021-048283	1010
2021-048284	18
2021-048285	403
2021-048286	124
2021-048287	1128
2021-048288	973
2021-048289	1522
2021-048290	840
2021-048291	717
2021-048292	720
2021-048293	1133
2021-048294	898
2021-048295	761
2021-051674	2
2021-051675	811
2021-051676	372
2021-051677	348
2021-051678	344
2021-051679	1282
2021-051680	413
2021-051681	870
2021-051682	252
2021-051683	366
2021-051684	206
2021-051685	987
2021-051686	659
2021-051688	104
2021-051689	407
2021-051690	252
2021-051691	59
2021-055041	131
2021-055042	1564
2021-055043	430
2021-055045	160
2021-055046	252
2021-055047	1386
2021-055048	327
2021-055049	2
2021-057961	1570
2021-057962	691
2021-057963	594
2021-057964	910
2021-057965	407
2021-057966	182
2021-061406	2
2021-061407	227
2021-061408	358
2021-061409	1330
2021-061410	586
2021-061411	901
2021-061412	458
2021-061413	458
2021-064613	436
2021-064614	1184
2021-064615	1035
2021-064616	492
2021-064617	1245
2021-075429	982
2021-075430	635
2021-075431	1331
2021-075432	1511
2021-075433	848
2021-075436	1265
2021-075437	346
2021-081715	717
2021-081716	458
2021-081717	1495
2021-081718	610
2021-081719	211
2021-081720	1150
2021-081721	1242
2021-081722	1309
2021-081723	577
2021-081724	699
2021-081725	2
2021-081726	252
2021-087248	199
2021-087249	974
2021-087250	1498
2021-087251	1529
2021-087252	1291
2021-087254	621
2021-087255	286
2021-095377	467
2021-095380	1488
2021-095382	1129
2021-095384	1405
2021-117598	32
2021-117599	1309
2021-117600	176
2021-117601	908
2021-117602	1003
2021-117603	235
2021-117606	906
2021-117607	331
2021-117609	1170
2021-123724	1005
2021-123725	977
2021-123726	557
2021-123727	1083
2021-123728	454
2021-123729	166
2021-123730	21
2021-123731	35
2021-123732	252
2021-136593	252
2021-136594	252
2021-136595	301
2021-136596	352
2021-136597	1401
2021-153115	198
2021-153116	83
2021-153117	833
2021-157365	1464
2021-157366	3
2021-157368	1512
2021-157369	831
2021-157370	983
2021-157371	404
2021-157372	261
2021-157373	990
2021-157374	1261
2021-157375	929
2021-162387	916
2021-162388	175
2021-162390	252
2021-162391	348
2021-162392	752
2021-162393	517
2021-162394	347
2021-162395	2
2021-162396	319
2021-162397	1570
2021-162398	951
2021-162399	1568
2021-162400	1432
2021-162401	1530
2021-162402	902
2021-169991	1261
2021-169992	944
2021-169993	1220
2021-169994	163
2021-169995	426
2021-169996	437
2021-169997	488
2021-173461	149
2021-173462	1543
2021-173463	1034
2021-173465	1194
2021-173466	1375
2021-173467	58
2021-173468	872
2021-186351	1350
2021-186352	990
2021-186353	500
2021-186354	1376
2021-186355	617
2021-186356	108
2021-186357	41
2021-186358	39
2022-004972	694
2022-004973	390
2022-004974	995
2022-004975	1397
2022-004976	1499
2022-004977	1460
2022-004978	660
2022-004979	722
2022-004980	173
2022-004981	1056
2022-004982	64
2022-004983	1195
2022-004984	1391
2022-004985	33
2022-004986	1135
2022-004987	696
2022-010740	1163
2022-010741	1100
2022-010742	1516
2022-010743	1440
2022-010745	150
2022-020923	956
2022-020924	1185
2022-020925	625
2022-020926	953
2022-020927	1357
2022-020928	1306
2022-020929	200
2022-020930	1382
2022-020931	693
2022-020932	679
2022-020933	625
2022-020934	804
2022-020935	284
2022-020936	1292
2022-020937	1558
2022-020938	826
2022-020939	82
2022-020940	1258
2022-020941	557
2022-020942	541
2022-024710	684
2022-024711	926
2022-024712	67
2022-024713	380
2022-024714	448
2022-034825	317
2022-034826	967
2022-034827	980
2022-034828	275
2022-034830	745
2022-034831	1460
2022-034832	850
2022-034833	1458
2022-034834	1246
2022-034835	381
2022-038735	863
2022-038737	221
2022-038738	1268
2022-038739	176
2022-038740	187
2022-038741	480
2022-038743	877
2022-038744	188
2022-041528	932
2022-041529	1452
2022-041530	28
2022-041531	852
2022-041532	772
2022-041534	930
2022-041535	1548
2022-041536	1526
2022-041537	860
2022-041538	549
2022-041539	549
2999-99887	267
Reference	1024
