ISOLATE,collection_date,ST,cgT
2015-21048,2015-10-30,,-
2015-21352,2015-11-05,,-
2015-21284,2015-11-04,,-
2015-21370,2015-11-02,,-
2015-21467,2015-11-05,,-
2015-21587,2015-11-09,,-
2015-21693,2015-11-10,,-
2015-21692,2015-11-09,,-
2015-21637,2015-11-08,,-
2015-21890,2015-11-10,,-
2015-21889,2015-11-13,,-
2015-21885,2015-11-12,,-
2015-21860,,,-
2015-21948,2015-11-11,,-
2015-22181,2015-11-16,,-
2015-22213,2015-11-16,11,2165
2015-22380,2015-11-19,,-
2015-22379,2015-11-19,,-
2015-22371,2015-11-18,,-
2015-22369,2015-11-19,,-
2015-22342,2015-11-17,,-
2015-22455,2015-11-19,11,284
2015-22430,2015-11-20,,-
2015-22424,2015-11-16,11,1914
2015-22993,2015-11-26,,-
2015-23317,2015-11-30,,-
2015-23315,2015-12-01,,-
2015-23282,2015-12-01,,-
2015-23443,2015-12-05,,-
2015-23788,2015-12-08,,-
2015-23991,2015-12-08,,-
2015-24483,2015-12-17,,-
2015-24519,2015-12-16,,-
2015-25327,2015-12-24,,-
2015-25297,2015-12-22,,-
2016-00081,2015-12-29,,-
2016-00428,2016-01-06,,-
2016-00644,,,-
2016-00640,,,-
2016-00903,2016-01-11,,-
2016-00944,2016-01-12,,-
2016-00939,2016-01-13,,-
2016-01350,2016-01-19,,-
2016-01377,2016-01-18,,-
2016-01479,2016-01-22,,-
2016-01515,2016-01-22,,-
2016-01503,2016-01-24,,-
2016-01499,2016-01-21,11,623
2016-01644,2016-01-25,,-
2016-01603,2016-01-21,,-
2016-01687,2016-01-26,,-
2016-01946,2016-01-27,,-
2016-01832,2016-01-27,,-
2016-02012,2016-01-26,,-
2016-02873,2016-01-28,,-
2016-03432,2016-02-04,1972,UC
2016-03522,2016-02-05,,-
2016-03760,,,-
2016-04112,2016-02-13,,-
2016-04904,2016-02-17,11,33
2016-05384,2016-02-24,,-
2016-05473,2016-02-24,,-
2016-05969,2016-03-02,,-
2016-06173,2016-03-07,,-
2016-06441,2016-03-08,11,136
2016-06442,2016-03-08,,-
2016-07049,2016-03-16,11,2250
2016-07524,2016-03-25,,-
2016-07702,2016-03-29,,-
2016-07676,2016-03-29,,-
2016-07752,2016-03-30,,-
2016-07762,2016-03-30,,-
2016-07957,2016-04-02,1925,159
2016-08134,2016-04-04,,-
2016-07790,2016-03-31,1925,159
2016-08240,,,-
2016-08225,2016-04-04,11,136
2016-08262,2016-04-04,,-
2016-08313,2016-04-06,,-
2016-08913,2016-04-12,,-
2016-08920,2016-04-12,,-
2016-08922,2016-04-13,,-
2016-08946,2016-04-14,,-
2016-08974,2016-04-16,,-
2016-09032,2016-04-14,,-
2016-09033,2016-04-13,,-
2016-09076,2016-04-14,,-
2016-09127,2016-04-16,,-
2016-09128,2016-04-16,,-
2016-09276,2016-04-18,,-
2016-09341,2016-04-19,,-
2016-09517,2016-04-17,,-
2016-09534,2016-04-22,,-
